Rank,State,Overall Vulnerability Index
1,Assam,0.616
2,Andhra Pradesh,0.483
3,Maharashtra,0.478
4,Karnataka,0.465
5,Bihar,0.448
6,Manipur,0.424
7,Rajasthan,0.423
8,Arunachal Pradesh,0.408
9,Sikkim,0.37
10,Odisha,0.368
11,Nagaland,0.365
12,Tamil Nadu,0.339
13,Himachal Pradesh,0.329
14,Jammu and Kashmir,0.328
15,NCT Delhi,0.29
16,Gujarat,0.28
17,Uttar Pradesh,0.269
18,West Bengal,0.257
19,Tripura,0.25
20,Kerala,0.226
21,Uttarakhand,0.19
22,Madhya Pradesh,0.182
23,Puducherry,0.175
24,Haryana,0.116
25,Goa,0.101
26,Chhattisgarh,0.087
27,Jharkhand,0.067
28,Andaman and Nicobar Islands,0
28,Dadra and Nagar Haveli,0
28,Daman and Diu,0
28,Leh Ladakh,0
28,Lakshadweep,0
28,Meghalaya,0
28,Mizoram,0
28,Punjab,0